Category,Question,Answer
Entertainment,Which singer is a former school teacher?,Sheryl Crow
General,How did Mark Chapman shock the world,Shot john lennon
General,"These bacteria spores that I love, commonly grown in feaces",Mushroom
General,"How was ""Abu Yusuf Ya'qub ibn Is-haq ubn as-Sabbah ibn 'omran ibn Ismail al-Kindi"" better known  ?",The philosopher of the Arabs
General,Who is Al Gores running mate in the 2000 Presidential election campaign,Joe liebermann
General,Which organist who died in 1985 was traditionaly associated with Blackpool Tower?,Reg Dixon
Music,Which 1970 Album Cover Featured A Former Beatle And His New Born Child,McCartney / By Paul McCartney
General,What direction do many northern birds fly when autumn arrives,South
General,What is the paint remover that is made from pine resin,Turpentine
General,What is the official national sport of Bulgaria,Weigthlifting
History & Holidays,He was defeated at the Battle of Little Bighorn.,General custer
General,If you have otophobia what are you afraid of,Opening ones eyes
Music,"""If I Could Turn Back Time"" Was A Hit for Which One Named Artist",Cher
General,Who directed the film Rain Man,Barry levinson
General,What is the name of the cranial bone just above your ear,Temporal
General,What is the meaning of the Sioux word Tonka - used for toys,Great
General,Where is Dronning Maud land to be found,Antarctica
General,Name the first teddy bear in space,Mishka 1980 Olympic mascot
General,Which Was The First Ever Bond Movie?,Dr No
Music,"Whose 1982 Debut Album Included The Classic Song ""Sex Dwarf""",Soft Cell
Music,Name Two Of The 3 Top 10 Hits For ABC In 1982,"Poison Arrow, Look Of Love, All Of My Heart"
Entertainment,Who was Carl in Five Easy Pieces before going to Walton's Mountain?,Waite
Music,"In The 1960's who Released The Albums ""Twist"", ""Twistin Round The World"", ""Your Twist Party""",Chubby Checker
General,Which Olympics did the U.S. boycott?,980
General,"The Single ""Respect Yourself"" Was Released In 1987 By Which Die Hard Music Lover",Bruce Willis
Sports & Leisure,He holds the NHL record for the most goals scored during the regular season.,Wayne Gretzky
General,Who was the youngest of the anderson children in father knows best,Kathy
General,Rio's Maracarria stadium has what unusual feature,A Moat
Music,To Which City Did Dione Warwick Ask The Way In 1968,San Jose
General,What makes plants green,Chlorophyll
General,Isms: a severe or unfavorable judgment,Criticism
General,"Throat, foxing, and platform are parts of a(n) ________.",Shoe
General,"Who always ended her PBS cooking shows with ""Bon Appetit""",Julia Childs
General,Zymurgy is a branch of chemistry concerning what process,Brewing fermentation
Science & Nature,What is the chihuahua named after?,A Mexican state
General,What was the name of the ship on which Dracula reputedly arrived in England in 1897?,Demeter
General,Which animals meatphorically constitute a heavy rainstorm,Cats and dogs
General,If You Suffered From Selaphobia What Would You Be Afraid Of,Flashing Lights
General,"British chemist, who isolated and described several gases, including oxygen, and who is considered one of the founders of modern chemistry because of his contributions to experimentation",Joseph priestley
Music,"Which Group Spent Five Weeks At No.1 With ""Chirpy Chirpy Cheep Cheep""",Middle Of The Road
General,"The Bible: ""The Prodigal Son"". What does ""prodigal"" mean",Wasteful lavish
General,"Who's Autobiography Is Entitled "" Memoirs Of An Unfit Mother""?",Anne Robinson
People & Places,Who Is Actress Betty Joan Perske Better Known As,Lauren Bacall
General,The film 10 Rillington Place is based on which British serial killer,Reginald Christie
General,What USA city is also a slang name for a pineapple,Chicago
General,In 1813 Rubber is,Patented
Sports & Leisure,Who died in 1995 and was the last Brit to win the Wimbledon Mens Singles Title,Fred Perry
General,Which animals can live longest without water,Rats
General,What two materials were the first aeroplance wings made of,Cloth & wood
General,Sacred carvings is the literal translation of what word,Hieroglyphics
Science & Nature,Which element has the chemical symbol U?,Uranium
General,Tocophobia is the fear of what?,Childbirth
General,What is the pupa of a moth or butterfly in a cocoon called,Chrysalis
General,"What follows beta, gamma and delta",Epsilon
General,What is the name given to a group of doves,Flight
General,Microbiophobia is the fear of,Microbes
General,What is the equivalent Spanish acronym for ufo,Ovni
General,Who is the Roman Goddess of sorcery hounds and crossroads,Trivia
General,Androphobia is the fear of _____.,Males
Science & Nature,What Is The Home Of A Badger Called?,Sett
General,Who was the first civilian astronaut to fly,Neil armstrong
General,What is the fastest creature raced for sport,Pigeon
General,In California more what are raised than in any other state,Turkeys
General,What's the oldest university in rhode island,Brown university
General,Erica is the Latin name for what shrub,Heather
Music,"Which Bands Abbrevated Name WAs ""Carter TUSM""",Carter The Unstoppable Sex Machine
Entertainment,Who did Patrick Duffy portray in the TV series 'Dallas'?,Bobby Ewing
Geography,What Is The Capital Of Hawaii?,Honolulu
General,"Opening in 1972, the action in which musical takes place at Rydell High School",Grease
General,What are emblazoned on the jolly roger,Skull & crossbones
Geography,What prison island was off the coast of French Guiana?,Devil's Island
General,"If you go blind in one eye, you'll only lose about twenty percent of your vision, but all of your ______",Depth perception
History & Holidays,Who Released The 70's Album Entitled 461 Ocean Boulevard,Eric Clapton
General,What is the Capital of: Somalia,Mogadishu
General,What is the common name of scrivener's palsy,Writer's cramp
Religion & Mythology,Who killed Goliath?,David
General,When was Big Ben completed,1858
General,What was crocketts first name on Miami Vice?,Sonny
General,Rocky and Bullwinkle enemies are Boris Badenov and who,Natasha Fatale
Music,Name Two Of The 3 Members Of The Rolling Stones Who Were Fined In 1965 For Urinating Against A Garage Wall,"Mick Jagger, Brian Jones, Bill Wyman"
General,What did the Celts consider sacred because it communicated moisture from the ground into the air,Trees
Music,"Which Stevie Wonder Song Featured In The Film ""The Woman In Red""",I Just Called To Say I Love You
Music,Which 1979 ACDC Album Cover Features A Band Member With Horns And A Tail,Highway To Hell
General,Who directed Four Weddings and a Funeral,Mike Newell
General,In which country is the volcano Popocatepetl,Mexico
Music,"Who Checked Into A ""Blue Hotel"" In 1991",Chris Isaak
History & Holidays,Who was the instigator of the breakaway World Series Cricket in 1977?,Kerry Packer
Sports & Leisure,Football: The Buffalo _______.,Bills
General,Where in France is the summer residence of thle French President,Fontainebleau
Science & Nature,"The hippopotamus has skin an inch_and_a_half thick, so solid that most __________ cannot penetrate it.",Bullets
People & Places,Who Founded His Own Production Company Called Ginger Productions?,Chris Evans
General,In which U.S. state do the most bald eagles live,Alaska
General,Synonymous with obituary; a list of recently deceased.,Necrology
General,What flavour is framboise liqueur,Raspberry
General,"The rebuilding of the Globe Theatre in London was the 'brainchild' of which American actor, who died before the project was completed",Sam wanamaker
General,Japan's equivalant to the dollar is ______,Yen
Music,Where Was The Concert For Life Held In 1992,Wembley
General,International dialling codes - where is 672,Antarctica
Geography,What color does the bride wear in China?,Red
Food & Drink,How many pieces of bun are in a Mcdonald's Big Mac?,Three
Music,"From Guyana, Which 80's Reggae Icon Recorded His Three Greatest Hits On The Ice Label",Eddy Grant
Religion & Mythology,Where did Robin Hood supposedly live,Sherwood forest
General,John Flynn invented what service in Australia,Flying Doctors
General,Name a mainland South American country where cars are normally driven on the left hand side of the road.,Guyana surinam
General,Kong Zi is better known as who,Confucius
General,What is the most popular sport in england,Darts
General,"What were Tricity Triumph, Kelvinator, Lec De Lux",Refrigerators
General,How did Miss Piggy tell the difference between love and lust,By spelling
General,In food what does UHT mean on the carton,Ultra Heat Treatment
Art & Literature,"In painting, a work made of several panels or scenes joined together. A diptych has two panels; a triptych, three.",Polyptych
General,What bird is sometimes called the Yaffle,Woodpecker
General,In Shakespeare Hamlet who is Ophelia's brother,Laertes
General,What Would You Be Suffering From If You Had Halitosis,Bad Breath
General,What is the most populous borough of New York?,Brooklyn
General,Slow Ride' was Foghat's biggest hit from which album released in 1975,Fool
General,Display abbreviations-short forms: fbi stands for _____,Federal bureau of
General,Large shop selling many different types of goods,Megastore
General,Products What was the only nation to register zero births in 1983,Vatican City
General,Where is the Guggenheim Museum?,New York
Music,"What country did the Beatles flee after ""snubbing"" their first lady?",The Phillipines
Sports & Leisure,Which Country Does Chelsea Striker Didier Drogba Represent At International Level?,Ivory Coast
General,What is the only fish that can blink at you with both eyes?,Shark
Art & Literature,In Which Novel Was It The Job Of The (Fireman) To Burn Books,Fahrenheit 451
Sports & Leisure,With which sport would you most associate the commentator Ted Lowe?,Snooker
General,Socrates was trained into what profession,Stonecutter
General,Various methods used to prevent pregnancy from occurring,Birth control
General,Astrakhan comes from which animal,Sheep
Mathematics,What geometric shape has 4 equal sides,Square
Music,Who was asked in 1874 by Henrik Ibsen to write incidental music to Peer Gynf?,Edvard Grieg
Music,"From the 1960's from which song and which artist “When at last my dreams come true, Darling this I'll know, Happiness will follow you, Everywhere you go”?",Elvis / Love Me Tender
General,What was Disney's first non animated live action film,Treasure Island
General,_____ of Love' by Frankie Lymon,ABC's
Music,Which singer went solo after performing with the Commodores?,Lionel Richie
General,What is a group of this called: Bacteria,Culture
General,This teen was sentenced to a public caning in singapore in 1994,Michael fay
General,Lygophobia is the fear of what,Darkness
General,What was the loneliest part of the Cross Canada run for Terry Fox,Nova
Music,"Which ""Pop Idol"" contestant was the first to reach number one in the UK singles charts?",Will Young
General,What company was founded by Sir Allan Lane in 1935,Penguin books
General,"Which Famous Tv Couple Lived At ""46 Peacock Crescent, Hampton Wick""",George & Mildred
General,To which team did marlboro switch its backing from brm in the 1974 season,Mclaren
Geography,Which Country Has The Most Countries Bordering It,China (16)
Entertainment,This term means to play moderately slow and gracefully?,Adagio
General,What book did Christians often place on their foreheads to cure insomnia in medieval times,The bible bible
Geography,What is the capital of Brunei ?,Bandar Seri Begawan
Science & Nature,Lateral Epicondylitus Is The Medical Name For Which Common Medical Condition,Tennis Elbow
Science & Nature,What is the chemical symbol for einsteinium?,Es
General,What creatures call an apiary home,Bees
General,What nationality was pablo picasso,Spanish
General,What was adolf hitler's religion,Roman catholic
General,Where is tupelo,Mississippi
General,What was the code name for USA landings Morocco in 1942,Operation Torch
General,What alternative scale (not Richter) measures earthquakes,Mercalli
General,"In Independence Day, What does Will Smith yell as he blasts off in the space ship?",I gotta get me one of these
General,What is a group of this animal called: Cub,Litter
Sports & Leisure,What Diameter Is The Circle From Which You A Discus,2.5m
Music,"Who Released An Album Entitled ""Bookends""",Simon & Garfunkel
General,"5% of Canadians don't know the first seven words of the Canadian anthem, but know the first nine words of which anthem?",The American anthem
Art & Literature,"A movement in American painting and sculpture that originated in the late 1950s. It emphasized pure, reduced forms and strict, systematic compositions.",Minimalism
General,Mbabane is the capital of ______,Swaziland
Science & Nature,"The first __________ dragons to breed in the western world are at the National Zoo at the Smithsonian Institute in Washington, D.C.",Komodo
General,In Oklahoma it is illegal to wear what in bed,Your Boots
General,In which city was Hugh Grant arrested with Divine Brown?,Los Angeles
General,"What's the common name for leucocytes, found in the blood",White blood cells
General,Who starred in the 1968 film Funny Girl,Barbra streisand
General,"In The 2000 Film ""Rugrats In Paris"" Who Supplied The Voice Of ""Coco La Bouche""",Susan Sarandon
General,An isohel on a map joins place of equal what,Sunshine
General,In the middle ages you could be fined four pence murdering who,Travelling Musician
Sports & Leisure,"In Darts From What Number Under 100 , Is It Not Possible To Finish With 2 Darts",99
General,Where do arboreal animals live,Trees
General,Who Became The Main Presenter Of Record Breakers After Roy Castle Retired,Kris Akabussi
General,Jim Backus was the voice of Mr. ______?,Magoo
General,Who is the one eyed giant of Greek mythology,Cyclops
History & Holidays,Who Played The Title Role In The Abdomibale Dr Phibes,Vincent Price
General,Rams Horn Wandering Bladder Prickly Herald types of what,Freshwater Snails
General,Who wrote the satire Candide published in 1759,Voltaire
General,"This cereal's box features an empty bowl and the phrase ""more, please.""",Cracklin oat bran
General,What is finely ground powdered sugar called,Icing sugar
General,Milk chocolate covered peanuts.,Goobers
History & Holidays,Who Formed The First Labour Goverment?,Ramsey MacDonald 1924
Food & Drink,Where were the first European coffee houses opened?,Vienna
Music,What was Kate Bush's first hit recording?,Wuthering Heights
Music,Name the film that featured a spaced-out George Harrison soundtrack?,Wonderwall
General,"Countries of the world:chain of more than 3,000 islands, major cities include Yokohama & Osaka",Japan
General,What is the capitol of Ghana,Accra
General,Which stringed instrument is blown to produce sound,Aeolian Harp
Music,According To The Song What Were Dire Straits The Sultans Of,Swing
General,Marcellite Garner was the first voice for what Disney character,Minnie Mouse
General,What does an armadillo taste like,Pork
General,"Alcatraz: this inmates nickname was ""machine gun""",George kelly
Tech & Video Games,Who is the CEO of Apple computers?,Steve Jobs
Geography,What is the capital of Guatemala ?,Guatemala
General,Who has a tattoo saying Starland Vocal Band,Homer Simpson
General,What is the Capital of: British Virgin Islands,Road town
Music,Name Two Of The Most Famous Members Of The Red Hot Chili Peppers,"Anthony Keidis, John Frusciante, Flea, Chad Smith"
General,Who composed the ballets - The Firebird and The Rite of Spring,Igor Stravinsky
General,In Matilda what was the name of Matilda's teacher?,Jennifer Honey
Geography,Abuja is the capital of ______?,Nigeria
General,"In Dickens' novel 'David Copperfield', what is the Christian name of his old nurse Peggotty",Clara
General,An aneroid is a kind of___.,Barometer
Science & Nature,Which 2 Towns Were Linked By The Worlds First Commercial Railway,Stockton & Darlington
General,Richard Gere was married to which model,Cindy crawford
Art & Literature,Which Novel Deals With The Events Of One Day In Dublin In June 1904,Ulysses By James Joyce
General,Who invented the phonograph,Thomas Edison
General,Punk Drummer Chris Miller what name when he Damned in 70s,Rat Scabies
Science & Nature,What Creatures Were Frequently Used To Bleed Patients In The Nineteeth Century,Leeches
General,What are the largest oceans in order of size,"Pacific, atlantic, indian"
Geography,Colorado's capital of __________ is the largest metro city in a 600_mile radius _ an area almost the size of Europe.,Denver
General,What is Daffy Ducks middle name,Dumas
People & Places,Who Said 'We Have Become A Grandmother' In 1989,Margaret Thatcher
General,The Rambunctious and Clever Ones what films name in Taiwan,Wayne's World
Geography,Which country was previously called Abyssinia?,Ethiopia
General,What is the Capital of: Tonga,Nuku'alofa
General,"What is the largest lake in South America, which is half freshwater, half saltwater",Maracaibo
General,Who was the founder of microsoft,Bill gates
General,Which comic strip did sam keith draw,The maxx
General,"In The 80's Which Soap Character Was Voted Britains Most Popular Person Ahead Of The Queen, Princess Diana, And The Queen Mother",Hilda Ogden
General,What piece of music commemorates military action that took place on 16th May 1943,The dam busters
General,How much longer is a day on mars than a day on earth,Thirty minutes
Music,Louise Nurding Dropped Her Surname On Leaving Which Group,Eternal
Food & Drink,What is the flavour of the Greek drink 'ouzo'?,Aniseed
Music,Who was barefoot on the cover of Abbey Road?,Paul
General,What is the most recent year that can be written upside-down and rightside-up and still look the same,1961
Art & Literature,Spanish modernist and cubist Pablo _____,Picasso
General,What does an anemologist study,Wind
Mathematics,"The mathematical study of properties of lines, angels, etc., is ________.",Geometry
History & Holidays,This U.S. Secretary of State won the Nobel Peace Prize in 1973,Kissinger
General,"Valentine in an average lifetime, the average american gives flowers 136 times on __",Mother's day
General,In which organ is a pulmonary disease located,Lung
General,Who was lauren bacall's first husband,Humphrey bogart
General,Port louis is the capital of ______,Mauritius
Food & Drink,What does the abbreviation A.B.V. Stand for in alcoholic drinks?,Alcohol By Volume
Music,Which 60's Band Had A Hit With Waterloo Sunset,The Kinks
General,Thanatos in Greek Mors in Roman Gods of what,Death
General,"What is further from the equator Tasmania, Tanzania or Transylvania",Transylvania
Science & Nature,This condition characterized by the swelling of the thyroid gland is caused by an iodine deficiency.,Goitre
Music,Which Canadian folk singer wrote the classic 70’s hit “big yellow taxi”,Joni Mitchell
General,The Amazon river rises in which country,Peru
General,Which Irish political parties name translates as we ourselves,Sein Fein
General,Which famous artist took up painting with his left hand when he lost the use of his right hand at the age of sixty,Leonardo da Vinci
General,In US what sporting good outsells Base Basket and Footballs,Frisbees sales beat all combined
General,What is the word (derived from Malay) for unhusked rice,Paddy
History & Holidays,In What Year Did World War I Begin,1914
General,In Japan what is Raku,Biscuit fired Pottery
General,Who was the president of France 1947 54,Vincent auriol
General,Dwight Eisenhower was the first president to hold what,Pilots Licence
General,What is apache indian corn beer,Tizwin
General,"Lawn game with hoops, wooden balls and mallets",Croquet
General,Who composed a symphony nicknamed The Hen,Joseph Hayden
General,The singer Brandon Flowers is assoociated with which band?,The Killers
General,Who had a no 1 Album 60s 70s 80s 90s,Barbara Strisand
General,What is the old name of the city Istanbul,Constantinople
Music,The Pretenders Were Back On What Kind Of Gang,Chain
General,What does the musical term 'pesante' mean,Heavy
History & Holidays,Where were the ancient script of Linear A and Linear B found ?,Crete
General,"Purely coincidental, Disneyland and Walt Disney World amusement parks are in counties with the same name. The former is in Orange County, California; the latter is in Orange County, _________",Florida
Science & Nature,Who Had Anaesthesia During ChildBirth Thereby Making It Acceptable,Queen Victoria
General,What medicine hastens the emptying of the bowels,Laxative
General,"Any of a large group of chemicals almost exclusively organic in nature, used for the coloring of textiles, inks, food products, & other substances",Dyes
Science & Nature,From What Metals Is Brass Made,Copper & Tin
General,Of which ship was miles standish captain,Mayflower
General,Who invented the food processor in 1947,Kenneth wood
General,What singer was nicknamed by his fans The Lizard King `,Jim Morrison
General,Larry Page is a co-founder of which Internet giant?,Google
General,"If british mp's want to have a private session, what does one of them say when they point to the public gallery",I spy strangers
History & Holidays,Which of Santa's reindeers shares its name with a mythological God of Love,Cupid
General,Which Charles Dickens novel features a case of 'spontaneous combustion'?,Bleak House
Entertainment,Jerry Lee Lewis had Great _____ Of Fire.,Balls!
General,What type of animal was Nana the nursemaid in 'Peter Pan',Dog
Science & Nature,The practice of joining the parts of two plants to make them grow as one is called ________.,Grafting
Food & Drink,The founder of Weight Watchers.,Jean nidetch
Sports & Leisure,What Do The Letters PB Next To An Athlete's Name Indicate,Personal Best
Geography,Which state has the most hospitals?,California
General,The symbols used on a map are explained by the ________.,Legend
Music,"According To The Song 'The House of the Rising Sun' By The Animals, In Which Us City Is The House Of The Rising Sun?",New Orleans
Entertainment,"Who played Brad Pitt's cop partner in the movie ""Seven""?",Morgan Freeman
General,Which singer had top ten hits in the 1980s with Sledgehammer and Games Without Frontiers,Peter gabriel
General,Which city lies at the eastern terminus of the Trans-Siberian railway,Vladivostock
General,What is the fear of bulls known as,Taurophobia
General,In what Australian state would you find Surfers Paradise,Queensland
General,If you had Tritonopia what would you not see,Colour Blue
General,Who is the roman counterpart of zeus,Jupiter
Geography,What Was The Name Of Sir Francis Drakes Most Famous Ship,The Golden Hind
General,"What are the Sirocco, Mistral and Chinook",Winds
General,VH international airline registration letters what country,Australia
General,"What links Brazil, Uruguay, Mozambique and Angola",Colonies of Portugal
General,Annie Mae Bullock became famous under which name (both),Tina Turner
Geography,"The U.S. state of __________ has 3,500 miles of coastline.",Maine
General,As clear as a _______,Bell
History & Holidays,What actor was killed in a car crash on the way to participate in a sports car race?,James Dean
General,What was/is the giant Musashi built in Japan in 1974,A Crane
General,What pigment is missing from the skin of human albinos,Melanin
General,"In Greek mythology, actaeon was torn apart by artemis' ______",Dogs
History & Holidays,"Which notorious murderer, hanged in July 1953, had his story told in the film _Ten Rillington Place_",John Reginald Christie
Music,"Who In The World Of Music Is Known As ""The Boss""",Bruce Springsteen
Art & Literature,"Which Famous Book Begins With The Line 'The mole had been working very hard all the morning, spring-cleaning his little home'",The Wind In The Willows
Geography,Which is the Earth's fourth largest continent,South america
Art & Literature,"A single print made from a metal or glass plate on which an image has been represented in paint, ink, etc.",Monotype
General,The feeling of having experienced something before is known as _______.,Deja vu
Music,What Relation Is Eagle Eye Cherry To Neneh Cherry,Half Brother
Entertainment,Name the fastest mouse in all of Mexico,Speedy gonzalez
Tech & Video Games,"In the Soul Edge series, who is known as ""The Dandy of the South Seas?""",Cervantes
General,Which society founded in 1884 still provides much of the intellect and political stimulus of the Labour Party?,Fabian Society
Music,Which Song Was Michael Jackson Performing When Jarvis Cocker Invaded the Stage In 1996?,Earth Song
General,What nationality was the person who ordered the killing of the last incan king of peru,Spanish
General,In Greek mythology Clio was the muse of what,History
People & Places,Who Did Cynthia Powell Marry In 1962?,John Lennon
General,What is the flower that stands for: attachment,Indian jasmine
General,What does the name Tabitha mean,Gazelle
Music,Guess The Band From These Initials FM / RT / BM / JD,Queen
General,Swiss manufacturer of the Crunch bar.,Nestle
General,Name one of the countries to join the Commonwealth in 1995.cameroon,Mozambique
General,What was Goebbels' role when he served under Hitler during WWll,Minister for propaganda
Science & Nature,Why Was The Jaguar Xj220 So Named,Top Speed Was 220
Music,Who admitted in a radio interview during The Noughties that she had smoked cannabis in the 1960s?,Cilla Black
General,Caipirina means someone's drink - whose drink,Peasants
General,Vince Lombardi & Brian Picollo both died in _____,1970
General,What is the flower that stands for: divine beauty,American cowslip
General,Who invented the word pandemonium,John Milton – capitol of hell
Music,"Which Country Singer Is Known As ""The Coal Miners Daughter""",Loretta Lynn
Food & Drink,What are the two main ingredients to Kedgeree,Smoked Fish & Rice
Sports & Leisure,Who Is The Only English Cricketer To Have Taken All 10 Wickets In 1 Innings At A Test Match,Jim Laker
General,The cecum is part of the,Large intestine
General,Which American state produces the most potatoes,Idaho
General,What is kermit d frog's girlfriend's name,Miss piggy
General,"What, in general terms, accelerates a chemical reaction without itself being changed",Catalyst
Music,"Who Composed The Song ""Happy Birthday Tou You""",Mildred & Patty Hill
Science & Nature,What Is An Analgesic,A Pain Killer
General,"In 'star wars', who was darth vader's body",David prowse
General,What creature called reem in Hebrew mentioned in Deuteronomy,Unicorn - but reem has 2 horns
History & Holidays,From what country did the U.S. buy the Virgin Islands,Denmark
General,What does a philographist collect?,Autographs
Music,"In 2006 The Group Lordi Won The Eurovision Song Contest, Which Country Did They Represent",Finland
Tech & Video Games,How much money do you start with in the game 'Wall Street Kid'?,500000
General,Shrine margaret thatcher becomes the first woman elected prime minister of,Great
Music,"Which 1996 Single Sold A Then Record 420,000 Copies In Its First Week Of Release",Babylon Zoo / Spaceman
General,Heston the american flag first flew over a foreign fort in what country,Libya
General,What was the first UK TV series filmed in colour 1964/5,Stingray - a puppet series
General,Who knows what evil lurks in the hearts of men,The Shadow
History & Holidays,Which U.S. President _banned _ Christmas trees from the White House because he believed cutting them harmed the environment?,Theodore Roosevelt
General,Greek Myth Clotho spun Lachesis measured Atropos cut what,Thread of a mans life
General,For what genre of book is isaac asimov famous,Science fiction
General,Skimbleshanks was a T S Elliot cat what was his area,The Railway Cat
Geography,What is the capital of Austria ?,Vienna
General,Name the two main families on Soap?,The Tates and The Campbells
General,"In Greek mythology, who was the goddess of the moon",Phoebe
General,Who used the pseudonym Ellis Bell,Emily Bronte
Geography,What is the basic unit of currency for Jamaica ?,Dollar
Science & Nature,The filament of a regular light bulb is usually made of ________.,Tungsten
General,"What did a ship called the Ancon travel through first, on August 15, 1914",The panama canal panama canal
General,If you suffered from ozostomia what have you got,Bad Breath - Halitosis
General,What food item literally translates as little donkey,Burrito
General,Who was given the only nobel peace prize award during wwi,International red
General,In which film did jennifer lopez play selena,Selena
General,Whose equations first suggested that mass and energy are interchangeable,Einstein's
History & Holidays,What did Harry Potter get for Christmas in his first semester at Hogwarts School?,An Invisibility Cloak
History & Holidays,Which American Gangster was shot dead outside a Chicago cinema in July 1934?,John Dillenger
Food & Drink,"Mind your p's and q's' was a phrase meant to watch how much you had to drink, but what did the letters 'p' and 'q' stand for?",Pints And Quarts
General,From what platform does the 'chattanooga choo choo leave pennsylvania station,29
History & Holidays,"In Which 1984 Film, Did A Young Man Called Zach, Receive A Mogwai For Christmas",Gremlins
General,"In 'startrek', who did william shatner play",Captain james t kirk
Science & Nature,What is a group of whales called?,Pod
General,In what city did 8 year old Mozart compose his first symphony,London
General,What percentage of the earths weight is taken up by the oceans?,Less than 1 percent
General,What is the Capital of: Malawi,Lilongwe
General,Which animal lays eggs,Duck billed platypus
General,Which Rubber Based Product Was Patented In The United States In 1869,Chewing Gum
General,What is an angle less than 90 degrees,Acute
History & Holidays,What did Napoleon have built to commemorate his victories?,Arc de Triomphe
General,Which was the first 'indiana jones' film,Raiders of the lost ark
General,Techniques & equipment used to extinguish fires & limit the damage caused by them,Fire fighting
Science & Nature,Whats the technical name for the skull ?,Cranium
General,A computer does a POST what is a post,Power on self test
General,"As Of 2010 Just 3 Countries Have Managed To Win The Eurovision Song Contest Back To Back, Ireland Is One Can You Name Any Of The Other Two","Luxembourg, Israel"
General,Biological community of interacting organisms and their physical environment,Ecosystem
General,Who introduced racial segregation in south africa,National party
Language,"How do you say ""I Love You"" in German?",Ich liebe Dich
General,Pupik means belly button in what language,Yiddish
General,Who wrote _Dido_ and _Pa,Joan aiken
Science & Nature,The hippopotamus has the world's shortest __________,Sperm
General,What is the collective term for a body of goods and monies from which future income can be derived,Capital
General,Which chemical element is named after the Greek for 'rose'?,Rhodium
Geography,Which is the Earth's fifth largest continent ?,Antarctica
Music,Name The 3 Members Of Genesis Who All Went On to Have Successful Solo Careers,"Phil Collins, Peter Gabriel, Mike Rutherford"
General,In Indonesian cookery what name is given to meat kebabs served with a peanut sauce,Satay
Music,Which Musical Won The Best Picture Oscar In 1968,Oliver!
General,What term is applied to ethyl alcohol that has been treated with poison to make it unfit for human consumption,Denatured
General,Who would use an orange stick,Manicurist
General,Apollo was the greek god of ______ and _______,Prophecy and Archery Archery and Prophecy Archery Prophecy Prophecy Archery
General,Ananas is French for what food,Pineapple
General,Where was coinage invented,Lydia
General,"Creamy sauce of butter,egg yolks and vinegar",Hollandaise
General,Where are the hausa and ibo tribes,Nigeria
Art & Literature,"The play ""Our Town"" is set where?",Grover's Corners
General,What is the provincial bird of Yukon,Raven
General,In which book of the Bible did Moses die,Deuteronomy
General,Roosevelt had a landslide victory over Hoover in which year,1932
General,An _____ clock usually wakes you in the morning,Alarm
Music,Who Composed La Boheme,Puccini
Entertainment,"Which comedy duo did the famous, ""Who's on first?"" routine?",Abbott and Costello
General,Tour de France what colour jersey best Hill Climber wear,Red Polka dot
General,Which Cartooon characters name did Orville Burrel adopt as his stage name,Shaggy
General,Which soccer team in the 1994 world cup had all 11 players' surnames ending with the letters 'ov',Bulgaria
People & Places,Whose Ear Did Mike Tyson Bite Off,Evander Holyfield
General,"In 'my favourite martian', who did ray walston play",Uncle tim
General,Harold Sakata was badly burned playing what character,Odd Job in Goldfinger
General,What is the young of this animal called: Shark,Cub
General,What does cyprus have on its flag,Map
General,"Which Classic Tv Character Was Played By ""Sorrell Brooke"" Between (1979-1985) & On Film By Burt Reynolds",Boss Hog
Food & Drink,In which countries would you find the following city 'Gin Gin '?,Australia
Entertainment,Name Hagar the Horrible's dog.,Snert
General,Who was Ben Hurs rival in the great chariot race,Messala
Music,Who Recorded The Albums Our Favourite Shop & Home And Abroad,The Style Council
Music,Which Group Had Hits With Pray & Babe In 1993,Take That
Religion & Mythology,"In Greek mythology, who solved the riddle of the Sphinx?",Oedipus
Geography,What is the basic unit of currency for Zambia ?,Kwacha
General,Japanophobia is the fear of,Japanese
General,What's is the correct name for a female Badger,Sow
General,This instrument measures the velocity of the wind,Anemometer
Music,"Is This Desire In 1998 Was PJ Harveys Fourth Album, Name One Of The Previous Three","Dry, Rid Of Me, To Bring You My Love"
Sports & Leisure,In Which Game Might You Come Across A (Dummy),Bridge
General,What is the bookmakers term for betting chances,Odds
General,"The first ""technology"" corporation to move into California's Silicon Valley was Hewlett_Packard, in 1938. Stanford University engineers Bill Hewlett and Dave Packard started their company in a Palo Alto garage with $1,538. Their first product was an audio oscillator bought by Walt Disney Studios for use in the making of ____________",Fantasia
General,What is the flower that stands for: unfading beauty,Gillyflower
Science & Nature,"He is known for his theory of ""Evolution"".",Charles darwin
General,What is 65% of sixty,39
Science & Nature,Name the wild dogs of Australia.,Dingo
General,What is a group of this animal called: Mare,Stud
General,What is a group of this animal called: Ape,Shrewdness
General,Bognor Java gets is on average 322 days annually what,Lightning strikes
History & Holidays,How many gloves did Michael Jackson wear?,One
General,Who spent years in nashville shopping demos recorded on a cassette recorder,Judds
Music,Open Road Was The Debut Solo Album Of Which Former Take That Member,Gary Barlow
General,"A ""double sheet bend"" is a type of what",Knot
Geography,"What country is surrounded by Brazil, Argentina and Bolivia?",Paraguay
General,What magazine says We are Number one in a field of One,Mad
General,Juliette binoch won an academy award for best supporting role in which film,English patient
General,"In July 1992, Tim Taylor married which member of the royal family",Lady helen windsor
General,"What type of creatures are the mythical Gelert, Argos, Luath and Covall?",Dogs
